number;short_name;status;type_of_correction;last_processing_date;total_length;total_depth;percentage_csdim;number_connected_components;number_nodes;number_edges;mean_degree;min_degree;max_degree;cv_degree;number_cycles;mean_length;cv_length;length_entropy;orientation_3d_entropy;aspl;cpd;correlation_vertex_degree;country;latitude;longitude;altitude;license;citation;thanks
002000;Migovec_000;clean;manual correction;08 Aug 2025;46317;968.62;13;1;7163;7206;2.09;1;6;0.53;44;49.7;1.26;0.42;0.902;35.94;0.555;-0.304;Slovenia;46.25198;13.76394;1854;CC BY-NC-SA 4.0;ICCC, & JSDPT. (2024). Survey Data for the Tolminski Migovec Cave Exploration project (Version 2024.03.13) [Dataset]. Zenodo. https://doi.org/DOI: 10.5281/ZENODO.108130;
003001;Criou_001;clean;manual correction;08 Aug 2025;23267;1660.65;38;1;3721;3741;2.09;1;5;0.501;21;51.02;1.85;0.23;0.92;28.95;0.473;-0.312;France;46.0889;6.7705;1880;CC BY-NC-SA 4.0;Robert, X., & Collectif Criou. (2023). Base de données topographiques des systèmes karstiques du massif du Criou (Samoëns, 74, France) (Version 1.0.0) [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.10020918';
003002;Criou_002;clean;manual correction;08 Aug 2025;4718;673.72;0;1;792;796;2.13;1;5;0.514;5;73.73;1.23;0.65;0.83;8.15;0.389;-0.264;France;46.0889;6.7705;1880;CC BY-NC-SA 4.0;Robert, X., & Collectif Criou. (2023). Base de données topographiques des systèmes karstiques du massif du Criou (Samoëns, 74, France) (Version 1.0.0) [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.10020918';
004001;Matienzo_001;clean;semi-automatic correction;08 Aug 2025;40992;143.65;2;1;6058;6128;2.09;1;11;0.563;71;26.85;2.05;0.08;0.832;50.14;0.527;-0.346;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004002;Matienzo_002;clean;semi-automatic correction;08 Aug 2025;38776;200.16;2;1;4642;4671;2.07;1;11;0.545;30;47.0;1.45;0.33;0.835;27.92;0.539;-0.287;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004003;Matienzo_003;clean;semi-automatic correction;08 Aug 2025;36006;321.3;0;1;4257;4274;2.04;1;11;0.571;18;40.96;1.26;0.25;0.883;27.88;0.592;-0.278;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004004;Matienzo_004;clean;semi-automatic correction;08 Aug 2025;34338;157.55;3;1;4246;4301;2.14;1;11;0.526;56;41.98;1.57;0.33;0.815;26.57;0.579;-0.308;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004005;Matienzo_005;clean;semi-automatic correction;08 Aug 2025;24235;100.2;0;1;3833;3859;2.09;1;11;0.571;27;39.6;1.51;0.27;0.818;22.17;0.539;-0.331;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004006;Matienzo_006;clean;semi-automatic correction;08 Aug 2025;23096;189.96;0;1;3085;3093;2.03;1;11;0.537;9;41.32;1.21;0.46;0.893;28.21;0.482;-0.328;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004007;Matienzo_007;clean;semi-automatic correction;08 Aug 2025;9905;129.3;2;1;1462;1464;2.02;1;11;0.54;3;43.64;1.14;0.6;0.827;19.94;0.474;-0.363;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004008;Matienzo_008;clean;semi-automatic correction;08 Aug 2025;8064;118.0;0;1;1404;1403;1.99;1;11;0.584;0;27.34;1.19;0.47;0.878;19.3;0.508;-0.336;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004009;Matienzo_009;clean;semi-automatic correction;08 Aug 2025;5110;54.47;0;1;1173;1178;2.02;1;11;0.61;6;12.23;1.67;0.23;0.793;25.8;0.486;-0.361;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004010;Matienzo_010;clean;semi-automatic correction;08 Aug 2025;7331;102.4;0;1;1049;1059;2.14;1;11;0.527;11;46.7;1.44;0.37;0.777;9.75;0.328;-0.292;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004011;Matienzo_011;clean;semi-automatic correction;08 Aug 2025;5620;69.55;0;1;957;962;2.05;1;11;0.54;6;25.2;1.21;0.5;0.798;16.66;0.512;-0.3;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004012;Matienzo_012;clean;semi-automatic correction;08 Aug 2025;9158;77.01;0;1;945;948;2.03;1;11;0.535;4;46.49;1.21;0.57;0.77;12.67;0.555;-0.221;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004013;Matienzo_013;clean;semi-automatic correction;08 Aug 2025;5106;42.9;20;1;913;913;2.0;1;11;0.561;1;72.95;1.63;0.5;0.771;8.54;0.486;-0.321;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004014;Matienzo_014;clean;semi-automatic correction;08 Aug 2025;5137;49.98;0;1;761;772;2.14;1;11;0.515;12;30.4;1.2;0.63;0.787;11.53;0.468;-0.28;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004015;Matienzo_015;clean;semi-automatic correction;08 Aug 2025;3222;32.81;0;1;707;724;2.08;1;11;0.604;18;7.65;1.5;0.21;0.83;21.51;0.615;-0.302;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004016;Matienzo_016;clean;semi-automatic correction;08 Aug 2025;3124;92.33;1;1;593;592;1.99;1;11;0.615;0;16.36;1.35;0.46;0.857;15.97;0.57;-0.417;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004017;Matienzo_017;clean;semi-automatic correction;08 Aug 2025;2784;65.14;0;1;550;551;2.05;1;11;0.487;2;73.28;0.95;0.76;0.775;5.97;0.528;-0.324;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004018;Matienzo_018;clean;semi-automatic correction;08 Aug 2025;2521;38.15;0;1;439;441;2.03;1;11;0.542;3;16.81;0.88;0.68;0.832;13.59;0.581;-0.362;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004019;Matienzo_019;clean;semi-automatic correction;08 Aug 2025;3050;129.17;0;1;429;430;2.01;1;11;0.611;2;19.81;1.02;0.69;0.871;12.75;0.542;-0.331;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004020;Matienzo_020;clean;semi-automatic correction;08 Aug 2025;2166;83.28;0;1;388;387;1.98;1;11;0.606;0;21.67;2.5;0.19;0.847;8.58;0.591;-0.421;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004021;Matienzo_021;clean;semi-automatic correction;08 Aug 2025;2123;212.62;0;1;388;387;1.97;1;11;0.579;0;29.49;1.26;0.6;0.842;9.3;0.469;-0.502;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004023;Matienzo_023;clean;semi-automatic correction;08 Aug 2025;1454;33.68;0;1;345;344;1.98;1;11;0.54;0;15.99;0.81;0.79;0.853;9.07;0.571;-0.394;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004024;Matienzo_024;clean;semi-automatic correction;08 Aug 2025;3552;110.77;0;1;339;338;1.97;1;11;0.607;0;56.4;1.02;0.72;0.788;6.82;0.568;-0.372;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004025;Matienzo_025;clean;semi-automatic correction;08 Aug 2025;2449;76.75;0;1;302;301;1.97;1;11;0.633;0;33.56;0.95;0.67;0.798;8.1;0.517;-0.323;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
004026;Matienzo_026;clean;semi-automatic correction;08 Aug 2025;2499;69.9;0;1;295;297;2.04;1;11;0.545;3;26.87;1.83;0.27;0.712;8.4;0.511;-0.412;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
