number;short_name;status;type_of_correction;last_processing_date;total_length;percentage_csidm;number_connected_components;number_nodes;number_edges;number_cycles;country;latitude;longitude;altitude;license;citation;thanks
001;GouffreDejaVu;clean;no correction;06 Jun 2025;150;100;1;33;32;0;Chile;;;;CC BY-NC-SA 4.0;Centre Terre. (2024). Survey Data for the Ultima Patagonia Cave Exploration project [Dataset]. https://github.com/tr1813/ultima-patag;
002;Migovec;clean;manual correction;06 Jun 2025;46325;13;5;7165;7204;44;Slovenia;46.25198;13.76394;1854;CC BY-NC-SA 4.0;ICCC, & JSDPT. (2024). Survey Data for the Tolminski Migovec Cave Exploration project (Version 2024.03.13) [Dataset]. Zenodo. https://doi.org/DOI: 10.5281/ZENODO.108130;
003;Criou;clean;manual correction;06 Jun 2025;33425;28;19;5085;5092;26;France;46.0889;6.7705;1880;CC BY-NC-SA 4.0;Robert, X., & Collectif Criou. (2023). Base de données topographiques des systèmes karstiques du massif du Criou (Samoëns, 74, France) (Version 1.0.0) [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.10020918';
004;Matienzo;in github (cleaning in progress);no correction;05 May 2025;518806;0;866;103652;103117;331;Spain;;;;CC BY-NC-SA 4.0;Unknown yet;
005;Sakany;clean;manual correction;06 Jun 2025;6786;82;11;1770;1809;50;France;42.8359;1.5959;138;unclear. may not be sharable;"Groupe de Recherches et d’Activités Spéléologiques de Lourdes. (2024). Base de données topographiques de la grotte Sakany (Version Version of the 25/07/2015) [GHTopo]. Examples de grotte du programme GHTopo. https://ghtopo.blog4ever.com/reseau-sakany
";
006;ReveEveille;clean;manual correction;06 Jun 2025;330;98;1;78;77;0;Chile;;;;CC BY-NC-SA 4.0;Centre Terre. (2024). Survey Data for the Ultima Patagonia Cave Exploration project [Dataset]. https://github.com/tr1813/ultima-patag;
007;Tsanfleuron;clean;manual correction;06 Jun 2025;9124;99;29;1457;1436;8;Switzerland;46.3149;7.2739;2290;CC BY-NC-SA 4.0;Groupe de Spéléologie Rhodanien (GSR), Société Spéléologique Genevoise (SSG), Spéléo-Club Jura (SCJ), & Groupe Spéléo Lausanne (GSL). (2024). Base de données topographique des systèmes karstique du lapiaz de Tsanfleuron (Unpublished raw data). [Dataset].;Thanks to Louis Stahelin for sharing the data with us, and to the GSR (Groupe de Spéléologie Rhodanien), SSG (Société Spéléologique Genevoise), SCJ (Spéléo-Club Jura), and GSL (Groupe Spéléo Lausanne) who explored, surveyed and mapped the conduits, and whithout whom this work would not have been possible. 
008;UltimaPatagonia;clean;no correction;06 Jun 2025;38755;16;101;5447;5406;60;Chile;-50.2946;-75.2895;141;CC BY-NC-SA 4.0;Centre Terre. (2024). Survey Data for the Ultima Patagonia Cave Exploration project [Dataset]. https://github.com/tr1813/ultima-patag;
009;Folly;clean;manual correction;06 Jun 2025;90997;10;129;13902;13864;91;France;46.1022;6.7796;1836;CC BY-NC-SA 4.0;Robert, X. (2021). Base de données Topographiques des systèmes karstiques du massif du Folly (Samoëns, 74, France) (Version v1.0.0) [Dataset]. Zenodo. https://doi.org/DOI: 10.5281/ZENODO.4745567';
010;PlaninaPoljana;clean;semi-automatic correction;06 Jun 2025;26101;89;95;5284;5241;52;Slovenia;46.1451;13.5248;1256;CC BY-NC-SA 4.0;Unknown yet;
011;BreznoNaToscu;clean;manual correction;06 Jun 2025;1870;90;1;361;360;0;Slovenia;46.34939;13.8619;1988;CC BY-NC-SA 4.0;Unknown yet;
012;PokljuskegaGrebena;clean;semi-automatic correction;06 Jun 2025;13366;77;3;2771;2788;20;Slovenia;46.36131;13.90389;1,853;CC BY-NC-SA 4.0;Unknown yet;
012;SistemPokljuskegaGrebena;clean;no correction;05 May 2025;13425;77;3;2797;2819;25;Slovenia;46.36131;13.90389;1,853;CC BY-NC-SA 4.0;Unknown yet;
013;BurringtonCombe;clean;manual correction;06 Jun 2025;5341;32;15;1759;1819;75;UK;51.3244;-2.7531;99;CC BY-NC-SA 4.0;Unknown yet;
014;CheddarCatchment;clean;manual correction;06 Jun 2025;27418;49;54;6649;6687;92;UK;51.2814;-2.7642;;CC BY-NC-SA 4.0;Unknown yet;
015;CountyClare;in github (cleaning in progress);no correction;05 May 2025;76783;13;59;12468;12475;66;Ireland;;;;CC BY-NC-SA 4.0;Unknown yet;
016;CountyMayo;clean;manual correction;06 Jun 2025;4199;59;11;607;613;17;Ireland;53.5368;-9.3385;37;CC BY-NC-SA 4.0;Unknown yet;
017;LittleNeathRiver;in github (cleaning in progress);no correction;06 Jun 2025;8547;0;6;907;913;12;UK;;;;CC BY-NC-SA 4.0;Unknown yet;
018;Lathkill;ready for cleaning;no correction;06 Jun 2025;10111;0;15;1409;1396;2;UK;;;;CC BY-NC-SA 4.0;Unknown yet;
019;Loser;in github (cleaning in progress);no correction;06 Jun 2025;365165;4;438;55555;56633;1516;Austria;;;;To confirm;Unknown yet;
020;Vanoise;;;06 Jun 2025;2551;83;11;608;603;6;France;;;;CC BY-NC-SA 4.0;;
